,name,latitude,longitude,rating,number of reviews,affluence
155,Foodaholic,23.7904231,90.4077423,4.2,9.0,
156,Cafe Cyrus,23.7910929,90.4041123,3.9,13.0,
157,Alfresco,23.7910554,90.40412169999999,4.2,2676.0,$$
158,De La Mer,23.7904694,90.4081889,4.2,27.0,
159,The Upstaires Lounge & Bistro,23.7903888,90.4080566,3.8,4.0,
160,Yum Cha District,23.7901743,90.40805329999999,4.5,2814.0,$$
161,Ginza,23.7901575,90.4080867,4.3,1763.0,$$
162,Dhaka Cafe,23.7901332,90.40821070000001,4.0,261.0,
163,Asian Bistro,23.7910895,90.40339689999999,3.8,33.0,
164,Shanghai10,23.7911288,90.40318359999999,4.2,94.0,
165,Sushi Samurai,23.7910772,90.40316039999999,4.1,878.0,$$$
166,Woodhouse Grill,23.7908477,90.40314269999999,4.5,4132.0,$$$
167,"Madchef Banani, Dhaka.",23.79005829999999,90.4091275,4.3,2969.0,$$
168,Umai,23.796943,90.4105417,4.2,527.0,$$$
169,Goong The Castle,23.7972916,90.41044500000001,4.4,537.0,$$$
170,Pizza Hut,23.7913006,90.40174859999999,4.2,1313.0,$$
171,Foodbook,23.7900492,90.41119259999999,3.8,556.0,$$
172,Samdado Japanese Cuisine,23.7922583,90.413099,4.3,433.0,
173,The Great Kabab Factory,23.7948276,90.4132151,4.4,1365.0,$$$
174,Oro,23.7959676,90.4132913,4.4,655.0,
175,Sauslys Foods,23.794526,90.4148257,4.1,25.0,
176,Meraki,23.8005496,90.4120871,3.9,374.0,$$$
177,ITICA-International Training Institute of Culinary Arts,23.7871704,90.4004677,4.7,15.0,
178,Handi,23.789392,90.4161025,4.0,2722.0,$$
179,hotel Aristocrat in restaurent,23.8031317,90.40911009999999,3.8,9.0,
180,Moshrafia Restaurant,24.8902721,91.8735122,3.5,121.0,
181,Royal Chef Restaurant & Party Center,24.8954829,91.8623305,3.8,491.0,
182,Spicy Restaurant & Party Center,24.8956471,91.8681737,4.0,987.0,$$$
183,Woondaal King Kabab,24.8952252,91.8708695,4.1,2281.0,
184,Demon's Cave,24.8954439,91.8721869,3.6,773.0,
185,Porshi restaurant,24.8920551,91.87268209999999,3.8,395.0,$$
186,Panshi Inn,24.895586,91.874443,4.0,1399.0,
187,La Vista Hotel™ | The Boutique Hotel,24.8942737,91.86062319999999,4.2,137.0,
188,Food Garden Restaurant,24.8848394,91.88041349999999,3.9,16.0,
189,Silver Shine Deluxe Hotel,24.8950489,91.8758132,3.7,69.0,
190,Chick Chicken,24.9091577,91.85665709999999,3.7,374.0,$$
191,শিরীন,24.8949294,91.8687063,,,
192,Akon,24.8949294,91.8687063,,,
193,Bookmobile,24.8949294,91.8687063,,,
194,business man,24.8949294,91.8687063,,,
195,Hassan Restaurant,24.8949294,91.8687063,5.0,1.0,
196,Location maker,24.8949294,91.8687063,,,
197,Milton,24.8949294,91.8687063,,,
198,Time for Fuchka,24.8949294,91.8687063,4.5,11.0,
199,CAFE SARAA,24.8949294,91.8687063,,,
200,Sajan,24.8949294,91.8687063,,,
201,Pitah gohr,24.8949294,91.8687063,,,
202,NN,24.8949294,91.8687063,,,
203,Ahad's Kitchen,24.8949294,91.8687063,,,
204,Farhana's Kitchen,24.8949294,91.8687063,,,
205,Rubel Munna,24.8949294,91.8687063,,,
206,Habib,24.8949294,91.8687063,,,
207,ABDUL MOUDUD HIRON,24.8949294,91.8687063,,,
208,opu,24.8949294,91.8687063,,,
209,শাত রঙের চা,24.8949294,91.8687063,,,
210,Nightteer1.com,24.8949294,91.8687063,4.4,21.0,
211,সানরাইজ সেন্টার,24.8949294,91.8687063,5.0,2.0,
212,Zoya,24.8949294,91.8687063,,,
213,মোঃ সামিম,24.8949294,91.8687063,,,
214,milon ahmed,24.8947992,91.8688573,,,
215,Sylheti Spice,24.8949137,91.86844169999999,5.0,1.0,
216,Fast&Fresh,24.8949051,91.8684354,5.0,2.0,
217,SEAZAA,24.8948031,91.8690414,5.0,1.0,
218,জুবায়ের খিচুড়ি হাউজ,24.8948031,91.8690414,,,
219,Stacks O'snacks,24.8952698,91.8687611,4.0,5.0,
220,food world coffee shop,24.8945006,91.8687024,,,
221,Flavours Castle,24.8950121,91.868186,3.8,155.0,$$
222,Tandoori House,24.8953977,91.868443,3.8,189.0,
223,Appetite,24.8954533,91.8688023,,,
224,New Dhanshiri Restaurant,24.8944309,91.8690182,3.6,10.0,
225,Onik,24.8944802,91.8691094,,,
226,Ice Land,24.8954953,91.8687942,3.3,74.0,$$
227,Liberty Food Corner,24.8955014,91.86867889999999,5.0,1.0,
228,The Steak Blast,24.8954832,91.86887139999999,4.4,26.0,
229,Royel Biriyani Resturent,24.89552639999999,91.8685485,,,
230,Fuchka Bari,24.8943352,91.8684732,,,
231,What the ফুচকা,24.8949315,91.86942959999999,3.9,171.0,
232,Shawarma House,24.8948369,91.8679871,3.7,265.0,$$
233,Mess,24.8954146,91.8682065,,,
234,Sylhet Customs Samity Canteen & Restuarant,24.8955933,91.8686773,5.0,2.0,
235,পান্থশালা রেস্টুরেন্ট panthoshala restaurant,24.8955072,91.8690755,5.0,4.0,
236,Chiangmai Restaurant,24.895506,91.8683004,3.6,80.0,
237,Ishtikutum Chinese Restaurant,24.8953796,91.86810899999999,3.8,228.0,$$
238,পালকি রেষ্টুরেন্ট,24.8949827,91.8695042,4.0,17.0,
239,Fiza,24.894985,91.8695225,4.1,14.0,
243,Fulkoli,24.9112106,91.8546768,3.9,146.0,
